BYS4A,BYS7A,BYS8A,BYS8C,BYS14,BYS21,BYS66A,BYS66D,BYS74,BYS81A,BYS81B,BYS81C,BYIEPFLG,SEX,RACE,BYFAMINC,BY2XRSTD,BY2XMSTD,BY2XSSTD,BY2XHSTD,F1DOSTAT,G8CTRL1,F12XRSTD,F12XMSTD,F12XSSTD,F12XHSTD,G10CTRL1,F2S44B,F2DOSTAT,F22XRSTD,F22XMSTD,F22XSSTD,F22XHSTD,BYSC12,BYSC13E,BYSC16B,BYSC16C,BYSC16E,BYSC16F,BYSC47G,BYRATIO,F1C30A,F1C93F,BYP30,BYP38B,BYP40,BYP41,BYP59A,BYP59D,HSSTAT,PPOSTEX1,NUMCHILD,F4HSTYPE,F4HHDG
1,1,1,1,2,1,2,2,1,2,2,1,0,2,4,11,62.65,43.28,46.69,51.63,0,3,61.75,47.8,47.1,45.09,3,3,0,61.28,50.54,46.92,49.05,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,2,1,1,1,1,1,0,2,4,11,65.35,72.93,60.01,64.72,0,3,65.84,68.38,58.46,61.77,3,3,0,65.57,66.6,65.14,67.41,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,1,1,1,1,1,1,1,0,2,4,11,59.39,58.63,56.7,61.49,0,3,57.53,61.79,56.18,61.01,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,5
1,1,1,1,1,1,2,1,1,1,1,2,0,2,4,11,48.78,50.87,46.52,56.29,0,3,41.23,43.97,35.56,46.04,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,5
1,1,1,1,1,1,2,1,1,2,1,1,0,2,4,11,57.57,57.24,61.88,51.61,0,3,58.41,54.14,50.66,58.31,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,1
1,1,1,1,1,1,2,2,1,1,2,1,0,2,4,11,54.24,51,46.82,50.92,0,3,57.08,50.31,41.82,48.54,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,43.62,42.07,43.53,41.94,0,3,46.41,49.27,50.69,46.78,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,1
1,1,1,1,1,1,2,2,1,1,1,2,0,2,4,11,40.91,41.28,36.32,47.35,0,3,53.61,51.58,44.25,47.06,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,51.3,58.67,58.73,58.53,0,3,56.7,61.66,54.49,53.89,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,1
1,1,1,1,1,1,2,2,1,2,3,2,0,2,4,11,58.52,52.09,40.98,48.81,0,3,57.62,56.4,46.29,47.84,3,3,0,52.46,51.76,51.225,51.08,100,10,2,1,0,0,5,30,0,5,4,1,0,2,2,2,1,1,0,1,4
